Date,Open,High,Low,Close
"Jun 07, 1984",817.02,817.02,817.02,817.02
"Jun 08, 1984",812.4,812.4,812.4,812.4
"Jun 11, 1984",808.15,808.15,808.15,808.15
"Jun 12, 1984",806.22,806.22,806.22,806.22
"Jun 13, 1984",807.88,807.88,807.88,807.88
"Jun 14, 1984",806.93,806.93,806.93,806.93
"Jun 15, 1984",807.03,807.03,807.03,807.03
"Jun 18, 1984",809.01,809.01,809.01,809.01
"Jun 19, 1984",813.52,813.52,813.52,813.52
"Jun 20, 1984",811.65,811.65,811.65,811.65
"Jun 21, 1984",806.41,806.41,806.41,806.41
"Jun 22, 1984",801.12,801.12,801.12,801.12
"Jun 25, 1984",804.07,804.07,804.07,804.07
"Jun 26, 1984",797.07,797.07,797.07,797.07
"Jun 27, 1984",797.35,797.35,797.35,797.35
"Jun 28, 1984",800.38,800.38,800.38,800.38
"Jun 29, 1984",806.68,806.68,806.68,806.68
"Jul 02, 1984",799.02,799.02,799.02,799.02
"Jul 03, 1984",794.87,794.87,794.87,794.87
"Jul 04, 1984",794.87,794.87,794.87,794.87
"Jul 05, 1984",789.69,789.69,789.69,789.69
"Jul 06, 1984",790.94,790.94,790.94,790.94
"Jul 09, 1984",793.69,793.69,793.69,793.69
"Jul 10, 1984",791.77,791.77,791.77,791.77
"Jul 11, 1984",786.39,786.39,786.39,786.39
"Jul 12, 1984",787.16,787.16,787.16,787.16
"Jul 13, 1984",785.96,785.96,785.96,785.96
"Jul 16, 1984",786.21,786.21,786.21,786.21
"Jul 17, 1984",784.25,784.25,784.25,784.25
"Jul 18, 1984",782.21,782.21,782.21,782.21
"Jul 19, 1984",780.41,780.41,780.41,780.41
"Jul 20, 1984",777.3,777.3,777.3,777.3
"Jul 23, 1984",769.61,769.61,769.61,769.61
"Jul 24, 1984",762.25,762.25,762.25,762.25
"Jul 25, 1984",758.03,758.03,758.03,758.03
"Jul 26, 1984",753.61,753.61,753.61,753.61
"Jul 27, 1984",750.06,750.06,750.06,750.06
"Jul 30, 1984",751.5,751.5,751.5,751.5
"Jul 31, 1984",752.5,752.5,752.5,752.5
"Aug 01, 1984",763.8,763.8,763.8,763.8
"Aug 02, 1984",774.56,774.56,774.56,774.56
