Date,Open,High,Low,Close,Adj Close,Volume
2014-11-25,3782.639893,3789.929932,3772.770020,3776.939941,3776.939941,0
2014-11-26,3778.419922,3789.070068,3777.179932,3788.419922,3788.419922,0
2014-11-28,3792.149902,3792.149902,3774.389893,3778.959961,3778.959961,0
2014-12-01,3775.870117,3775.870117,3746.310059,3753.310059,3753.310059,0
2014-12-02,3754.110107,3781.489990,3754.110107,3777.469971,3777.469971,0
2014-12-03,3780.100098,3796.239990,3778.770020,3792.679932,3792.679932,0
2014-12-04,3791.500000,3798.060059,3770.929932,3788.340088,3788.340088,0
2014-12-05,3789.949951,3802.139893,3786.909912,3794.679932,3794.679932,0
2014-12-08,3794.270020,3795.909912,3756.659912,3767.699951,3767.699951,0
2014-12-09,3760.860107,3762.709961,3719.929932,3758.870117,3758.870117,0
2014-12-10,3765.340088,3765.340088,3702.060059,3705.510010,3705.510010,0
2014-12-11,3709.770020,3760.250000,3709.770020,3723.320068,3723.320068,0
2014-12-12,3714.370117,3717.820068,3663.090088,3663.100098,3663.100098,0
2014-12-15,3668.139893,3693.020020,3626.909912,3639.969971,3639.969971,0
2014-12-16,3634.629883,3689.669922,3608.739990,3609.060059,3609.060059,0
2014-12-17,3611.129883,3688.760010,3611.129883,3682.699951,3682.699951,0
2014-12-18,3694.419922,3771.719971,3694.419922,3771.719971,3771.719971,0
2014-12-19,3771.389893,3802.149902,3771.389893,3788.969971,3788.969971,0
2014-12-22,3787.010010,3804.350098,3787.010010,3803.939941,3803.939941,0
2014-12-23,3809.520020,3819.129883,3806.500000,3810.780029,3810.780029,0
2014-12-24,3812.899902,3820.780029,3810.389893,3810.389893,3810.389893,0
2014-12-26,3814.830078,3830.159912,3814.830078,3823.000000,3823.000000,0
2014-12-29,3821.570068,3832.370117,3818.129883,3826.949951,3826.949951,0
2014-12-30,3823.600098,3823.600098,3807.209961,3808.689941,3808.689941,0
2014-12-31,3811.929932,3818.280029,3767.820068,3769.439941,3769.439941,0
2015-01-02,3776.489990,3794.520020,3746.409912,3768.679932,3768.679932,0
2015-01-05,3762.040039,3762.040039,3694.100098,3700.030029,3700.030029,0
2015-01-06,3702.909912,3717.669922,3648.530029,3667.139893,3667.139893,0
2015-01-07,3673.679932,3717.729980,3673.679932,3710.939941,3710.939941,0
2015-01-08,3719.639893,3780.929932,3719.639893,3777.399902,3777.399902,0
2015-01-09,3779.810059,3781.500000,3733.830078,3745.669922,3745.669922,0
2015-01-12,3748.090088,3753.760010,3705.080078,3715.360107,3715.360107,0
2015-01-13,3721.820068,3768.159912,3680.419922,3706.149902,3706.149902,0
2015-01-14,3697.780029,3697.780029,3642.969971,3684.719971,3684.719971,0
2015-01-15,3689.360107,3703.280029,3648.540039,3650.739990,3650.739990,0
2015-01-16,3650.010010,3701.679932,3642.500000,3699.790039,3699.790039,0
2015-01-20,3702.370117,3717.050049,3672.580078,3705.639893,3705.639893,0
2015-01-21,3701.770020,3734.850098,3686.830078,3723.620117,3723.620117,0
2015-01-22,3727.649902,3783.209961,3713.209961,3780.510010,3780.510010,0
2015-01-23,3780.209961,3780.209961,3757.409912,3759.760010,3759.760010,0
2015-01-26,3757.219971,3770.409912,3739.989990,3769.449951,3769.449951,0
2015-01-27,3752.530029,3752.530029,3701.350098,3718.989990,3718.989990,0
2015-01-28,3724.409912,3742.830078,3668.209961,3669.100098,3669.100098,0
