,uniform,onlystocks,sixtyforty,riskparity
1978-03-10,538696.4961772355,100040.51051690322,149985.6572835701,358512.9986914638
1978-03-13,541789.4606030372,100190.13415199005,150178.7278308762,359725.01877798716
1978-03-14,545817.3765304041,101083.17994203982,151018.7473305406,361125.96635079023
1978-03-15,544464.0527313402,100554.81956656248,150542.80751360802,360634.1414692294
1978-03-16,540880.1987304388,101426.82308827614,151390.96058060255,359681.7471866594
1978-03-17,545347.0002884298,102982.32066641147,153135.11469103655,361780.83928728924
1978-03-20,541963.6640560345,104389.72773226244,154414.33614394756,360546.9351634071
1978-03-21,533928.3071130507,102013.90012219813,152124.75691700605,357672.2437926166
1978-03-22,537627.7399521287,101278.75307648772,150911.0159237622,357899.36509416363
1978-03-23,543422.3734849102,101021.70575368918,150572.86181623326,359163.32155735325
1978-03-24,541145.0406795777,101021.70575368918,149937.80186709922,357939.12663109915
1978-03-27,544647.7525229726,99905.9199189863,148981.99744214528,358825.4289844412
1978-03-28,547259.4445839961,101314.29871936401,150181.84534861482,359653.4206740669
1978-03-29,541397.2186938276,101623.18353084038,150465.19784439102,357692.82620669424
1978-03-30,532254.1281949618,101093.69264185667,149429.49651672094,354099.1839834418
1978-03-31,537793.0912829012,100633.43720486278,149174.28892933272,356240.90108604415
1978-04-03,536110.352711536,98933.55684735099,147795.92589797793,356101.11416282423
1978-04-04,534116.1180421562,99820.33135037175,148470.22423221826,355104.0188285151
1978-04-05,536543.7582691156,101564.63155692598,149843.825522658,355601.8552722892
1978-04-06,544274.8807501893,101896.4484059987,150201.72611454222,358374.030659884
1978-04-07,544442.4416175478,102750.73503674948,150874.46489534617,358228.3006133748
1978-04-10,544465.7856059634,103471.79851588486,151480.55333392904,358371.15510359185
1978-04-11,545051.7305221419,102914.78802454086,151005.58313065596,358683.4502003993
1978-04-12,545930.6667204638,102587.36452779276,150792.83456880727,359385.8015725987
1978-04-13,546663.655023659,104559.95338643235,153062.59598601304,360639.9848402986
1978-04-14,553114.3657901753,109010.32273732351,157513.82725179032,363752.4036971934
1978-04-17,552012.9469779816,112591.19218445242,160662.84926012758,364042.25462395686
1978-04-18,545504.6015526484,110150.6716627561,157926.192474265,360228.33323955786
1978-04-19,546504.0021447081,111155.74265577544,158557.8874786721,360186.0849483145
1978-04-20,541198.5301845131,112757.37412162389,159855.9179561843,359085.72233667935
1978-04-21,542104.0406725736,112271.38195974806,159208.87953904356,358952.64117580967
1978-04-24,538519.870598984,115665.75199909956,162362.08075022502,359002.5564205435
1978-04-25,541386.3182599144,117757.85759268948,163924.40367442087,359460.1173393251
1978-04-26,540594.5002412295,118187.14218038417,164055.3477159632,358909.98935736023
1978-04-27,539748.4164870939,115834.25690625257,162075.10580690738,358172.9566314333
1978-04-28,546336.7117710932,118169.08360780247,164185.81558104733,360404.6062903022
1978-05-01,548748.7635152272,120209.74114140625,165871.47738700375,361148.83618043223
1978-05-02,544644.5902736279,119166.44910238884,164794.24132806854,360109.4508230591
1978-05-03,543935.127464933,116731.00118920825,162824.750373257,359911.26854045596
1978-05-04,544398.8257477805,115921.44915345854,161267.00719875502,358033.64875608386
1978-05-05,546912.7971013068,117362.18738760271,162508.5049107528,358643.65854639886
1978-05-08,545443.2011098783,116526.20627248939,161941.81734198474,358544.7461972457
1978-05-09,548598.8213463125,115814.40248648637,161456.8627225451,359410.68112413783
1978-05-10,549415.0866792183,115853.50386610779,161495.21114250703,359528.12646483403
1978-05-11,555542.9109048303,118936.02187691812,163934.2092090733,360862.9335177417
1978-05-12,560586.9305035088,121055.49841589591,166019.50729608993,363122.96726042154
1978-05-15,566455.5140851963,122749.18646151527,167703.56162288942,365365.0457908099
1978-05-16,573173.2570438632,124205.93244376549,169152.20568762213,367542.8923469393
1978-05-17,569324.3418114466,124821.1139307711,169149.6957411418,365605.76426901255
1978-05-18,568210.3554982423,122355.1149744725,166931.90786311298,364554.08297671814
1978-05-19,571475.7161146913,121104.84260120725,165865.53107279236,365226.1980732867
1978-05-22,573833.3970801827,123489.44995689302,168100.3714449437,366336.68292137404
1978-05-23,576465.400055939,120887.7255780726,165575.00101733953,366167.11732750543
1978-05-24,572039.0562266436,118486.48098256014,163334.29844312917,364423.9627969405
1978-05-25,573051.116530314,117793.66115139879,162408.83951529782,364258.8970917673
1978-05-26,572298.6031905018,117248.93441567113,161963.35835886377,363919.088827497
1978-05-29,572343.4381610241,117248.93441567113,161981.159012657,363942.9434289769
1978-05-30,576014.6031061494,117919.40925163182,162673.4336093681,365596.94222538336
1978-05-31,577893.3872071265,118835.1991353405,163495.95598920074,366948.60190990707
1978-06-01,573583.2538914672,119094.60203546764,163986.8230270042,365617.82685218647
1978-06-02,573269.205566811,121017.89456429938,165794.07275379237,366191.03376636875
1978-06-05,577931.3681455237,125471.76210048389,169543.7951343222,367427.4300856802
1978-06-06,577224.5326969479,126390.68773035883,170461.20184174014,367285.7870730413
1978-06-07,573252.4253558769,125876.75823931598,169919.2856601751,366043.21003864193
