,uniform,onlystocks,vanillariskparity,sixtyforty
1929-04-21,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-22,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-23,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-24,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-25,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-26,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-27,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-28,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-29,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-04-30,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-01,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-02,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-03,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-04,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-05,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-06,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-07,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-08,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-09,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-10,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-11,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-12,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-13,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-14,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-15,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-16,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-17,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-18,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-19,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-20,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-21,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-22,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-23,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-24,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-25,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-26,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-27,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-28,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-29,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-30,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-05-31,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-01,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-02,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-03,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-04,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-05,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-06,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-07,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-08,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-09,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-10,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-11,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-12,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-13,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-14,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-15,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-16,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-17,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-18,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-19,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-20,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-21,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-22,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-23,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-24,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-25,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-26,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-27,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-28,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-29,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-06-30,98.61573842146309,78.11312164754405,97.78255883963355,88.91708129915058
1929-07-01,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-02,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-03,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-04,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-05,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-06,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-07,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-08,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-09,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-10,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-11,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-12,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-13,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-14,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-15,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-16,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-17,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-18,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-19,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-20,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-21,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-22,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-23,97.37333842146309,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-24,97.37333842146307,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-25,97.37333842146307,78.11312164754405,96.98183883963355,88.91708129915058
1929-07-26,97.37333842146307,78.11312164754405,96.98183883963355,88.91708129915058
