,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
2002-11-14,100.0,100.0,100.0,100.0,100.0
2002-11-15,100.0,100.0,100.0,100.0,100.0
2002-11-18,100.0,100.0,100.0,100.0,100.0
2002-11-19,100.0,100.0,100.0,100.0,100.0
2002-11-20,100.0,100.0,100.0,100.0,100.0
2002-11-21,100.0,100.0,100.0,100.0,100.0
2002-11-22,100.0,100.0,100.0,100.0,100.0
2002-11-25,100.0,100.0,100.0,100.0,100.0
2002-11-26,100.0,100.0,100.0,100.0,100.0
2002-11-27,100.0,100.0,100.0,100.0,100.0
2002-11-29,100.0,100.0,100.0,100.0,100.0
2002-12-02,100.0,100.0,100.0,100.0,100.0
2002-12-03,100.0,100.0,100.0,100.0,100.0
2002-12-04,100.0,100.0,100.0,100.0,100.0
2002-12-05,100.0,100.0,100.0,100.0,100.0
2002-12-06,100.0,100.0,100.0,100.0,100.0
2002-12-09,100.0,100.0,100.0,100.0,100.0
2002-12-10,100.0,100.0,100.0,100.0,100.0
2002-12-11,100.0,100.0,100.0,100.0,100.0
2002-12-12,100.0,100.0,100.0,100.0,100.0
2002-12-13,100.0,100.0,100.0,100.0,100.0
2002-12-16,100.0,100.0,100.0,100.0,100.0
2002-12-17,100.0,100.0,100.0,100.0,100.0
2002-12-18,100.0,100.0,100.0,100.0,100.0
2002-12-19,100.0,100.0,100.0,100.0,100.0
2002-12-20,100.0,100.0,100.0,100.0,100.0
2002-12-23,100.0,100.0,100.0,100.0,100.0
2002-12-24,100.0,100.0,100.0,100.0,100.0
2002-12-26,100.0,100.0,100.0,100.0,100.0
2002-12-27,100.0,100.0,100.0,100.0,100.0
2002-12-30,100.0,100.0,100.0,100.0,100.0
2002-12-31,100.0,100.0,100.0,100.0,100.0
2003-01-02,100.0,100.0,100.0,100.0,100.0
2003-01-03,100.0,100.0,100.0,100.0,100.0
2003-01-06,100.0,100.0,100.0,100.0,100.0
2003-01-07,100.0,100.0,100.0,100.0,100.0
2003-01-08,100.0,100.0,100.0,100.0,100.0
2003-01-09,100.0,100.0,100.0,100.0,100.0
2003-01-10,100.0,100.0,100.0,100.0,100.0
2003-01-13,100.0,100.0,100.0,100.0,100.0
2003-01-14,100.0,100.0,100.0,100.0,100.0
2003-01-15,100.0,100.0,100.0,100.0,100.0
2003-01-16,100.0,100.0,100.0,100.0,100.0
2003-01-17,100.0,100.0,100.0,100.0,100.0
2003-01-21,100.0,100.0,100.0,100.0,100.0
2003-01-22,100.0,100.0,100.0,100.0,100.0
2003-01-23,100.0,100.0,100.0,100.0,100.0
2003-01-24,100.0,100.0,100.0,100.0,100.0
2003-01-27,100.0,100.0,100.0,100.0,100.0
2003-01-28,100.0,100.0,100.0,100.0,100.0
2003-01-29,100.0,100.0,100.0,100.0,100.0
2003-01-30,100.0,100.0,100.0,100.0,100.0
2003-01-31,100.0,100.0,100.0,100.0,100.0
2003-02-03,100.0,100.0,100.0,100.0,100.0
2003-02-04,100.0,100.0,100.0,100.0,100.0
2003-02-05,100.0,100.0,100.0,100.0,100.0
2003-02-06,100.0,100.0,100.0,100.0,100.0
