,sixtyforty,riskparity
2018-12-21,209.6273660964964,214.38865180969228
2018-12-24,206.78581607818586,212.34989823913563
2018-12-26,212.01154546356182,215.98322317504872
2018-12-27,212.925528739929,216.76469796752917
2018-12-28,213.12623392486555,217.52984379577626
2018-12-31,214.32889507293683,218.81410443115223
2019-01-02,214.67814937591535,219.48597189331045
2019-01-03,212.30084438323956,218.30444577026356
2019-01-04,215.72462773895245,220.34359820556628
2019-01-07,216.5533132400511,220.82895930480944
2019-01-08,217.58795465850812,221.51136164855947
2019-01-09,218.09718546295147,221.8280525665282
2019-01-10,218.26027976226788,221.50501319885242
2019-01-11,218.47312270355206,221.96166363525379
2019-01-14,217.55708766937238,220.9246700439452
2019-01-15,218.818387321472,221.72710519409168
2019-01-16,219.16277538299542,222.0879441833495
2019-01-17,220.12346758270246,222.91464584350575
2019-01-18,221.5820479660032,223.7710957031249
2019-01-22,220.13860303497296,223.03364741516103
2019-01-23,230.38500212860086,233.21161578369123
2019-01-24,230.72925702667214,233.96779426574696
2019-01-25,231.59595215606666,234.35530751037575
2019-01-28,230.584528160095,233.43275869750957
2019-01-29,230.63052977752662,233.83153918457012
2019-01-30,232.60002324676492,235.43694830322247
2019-01-31,234.22366481780986,237.48048114013653
2019-02-01,234.0079756317137,236.820938934326
2019-02-04,234.78907285308827,237.12869421386708
2019-02-05,235.59466761016836,238.16545959472649
2019-02-06,235.43034303283684,238.06587973022454
2019-02-07,234.3850653076171,237.7043292541503
2019-02-08,234.7573451614379,238.35620898437492
2019-02-11,234.65039397430414,237.95406976318353
2019-02-12,236.34282820129388,239.17981552124016
2019-02-13,236.62885487365716,239.12206723022453
2019-02-14,236.57727570343,239.52699108886705
2019-02-15,238.20734351348867,241.02507714843736
2019-02-19,238.57677564239484,241.53806433105453
2019-02-20,238.73340024566633,241.44269384765607
2019-02-21,247.79771676635724,249.94527517700178
2019-02-22,248.97085001373262,251.4024725341795
2019-02-25,249.0299144668577,251.2183162841795
2019-02-26,249.15710092163064,251.7154991760252
2019-02-27,248.56261824798563,250.31734735107403
2019-02-28,248.13375653839088,249.68924841308575
2019-03-01,248.61205958557107,249.3716510925291
2019-03-04,248.440285858154,249.8324678039549
