,customweights,benchmark
1990-01-15,142911.13902796822,139839.056912
1990-01-16,143111.74224639413,141398.5
1990-01-17,141126.91112242264,140016.625404
1990-01-18,142202.64271457904,140340.86385999998
1990-01-19,142027.77654066565,140746.159228
1990-01-22,140048.2876663322,137121.625404
1990-01-23,139891.64481695442,137631.13614
1990-01-24,140284.27585012538,134574.022702
1990-01-25,139836.30160719523,135376.897684
1990-01-26,140208.2411661022,135272.68193
1990-01-29,140269.52660183157,135048.80694799998
1990-01-30,140017.72452487756,134164.86385999998
1990-01-31,140647.76988353883,136697.022702
1990-02-01,140326.97847803286,136596.659228
1990-02-02,141299.6726599512,137503.76154400004
1990-02-05,141553.81202341267,137986.26154400004
1990-02-06,140847.86286527978,137125.47729799998
1990-02-07,142221.25723397985,138854.76154400004
1990-02-08,142039.9137849292,138534.386562
1990-02-09,141295.55659843748,138874.056912
1990-02-12,141880.41721738182,137449.72772
1990-02-13,141747.61704111134,137882.04579
1990-02-14,141320.74544121267,138302.784246
1990-02-15,142381.4640120744,139510.966176
1990-02-16,140953.12293445904,138646.31806999998
1990-02-19,140949.81228760703,138646.31806999998
1990-02-20,140454.83711889415,136685.443474
1990-02-21,140854.0493553599,136554.20463199998
1990-02-22,140447.5185084154,135747.466176
1990-02-23,140261.0002523628,135137.579614
1990-02-26,140994.0072991149,137059.86385999998
1990-02-27,140025.45964533807,137746.943474
1990-02-28,139796.72740969277,138457.18193
1990-03-01,139480.2335548884,138827.738456
1990-03-02,139724.56493608782,139997.31806999998
1990-03-05,139770.83784299175,139298.659228
1990-03-06,140641.8620214985,141058.81806999998
1990-03-07,139624.62084938964,140653.522702
1990-03-08,139716.97557045077,142043.125404
1990-03-09,138895.83958958264,141128.30694799998
1990-03-12,138795.49497685302,141444.81806999998
1990-03-13,138205.01801178372,140337.0
1990-03-14,138543.86621010752,140703.70463199998
1990-03-15,139694.90808388137,141209.36385999998
1990-03-16,140107.48318379026,142815.125404
1990-03-19,140717.1843023252,143498.341158
1990-03-20,139946.18028607208,142691.602316
1990-03-21,139078.4312904804,141927.31806999998
1990-03-22,138527.17506835214,140236.63614
1990-03-23,139399.15048817924,140877.397684
1990-03-26,136228.4299948819,141136.022702
1990-03-27,136690.69819622266,142757.22772
1990-03-28,136902.52023695677,142969.522702
1990-03-29,136493.1148650032,142463.86385999998
1990-03-30,136180.6772202223,142124.18193
1990-04-02,136346.0484607653,141630.102316
1990-04-03,138465.58459310536,143718.36385999998
1990-04-04,137643.03846014774,142714.76154399998
1990-04-05,138001.27144427528,142568.079614
1990-04-06,137564.22139378157,142309.466176
1990-04-09,137347.12029334542,142853.72772
1990-04-10,136855.34041100452,143147.079614
1990-04-11,136935.2772356997,143085.31806999998
1990-04-12,137145.14852857313,144108.22772
1990-04-13,137142.19224821887,144108.22772
1990-04-16,137045.14092238067,144289.63614
1990-04-17,136235.3649319717,144266.47729799998
1990-04-18,135509.17688493163,142618.26154399998
1990-04-19,135579.04751441441,141518.159228
1990-04-20,134929.3548134641,140279.102316
1990-04-23,134310.6199646429,138592.284246
1990-04-24,134179.5087566428,138314.36385999998
1990-04-25,133101.53325147525,139028.466176
1990-04-26,133396.44673687755,139422.18193
1990-04-27,132992.0362184787,137831.86385999998
1990-04-30,132615.8754843176,138580.70463199998
1990-05-01,133380.11175461506,139221.466176
1990-05-02,134023.90018204867,140163.30694799998
1990-05-03,134989.86308963608,140661.238456
1990-05-04,135613.03925921622,141915.738456
1990-05-07,136537.75559947864,142857.579614
1990-05-08,136310.88087859578,143529.22772
1990-05-09,137237.354405443,143915.22772
1990-05-10,138380.15531148514,144339.81806999998
1990-05-11,139250.1466697237,147806.102316
1990-05-14,140021.83149725522,149029.72772
1990-05-15,139691.80504796124,148840.579614
1990-05-16,139844.60022411193,148755.659228
1990-05-17,139716.05236966236,148960.238456
1990-05-18,139834.63669723304,149033.579614
1990-05-21,141068.2679476603,150477.22772
1990-05-22,141695.71229114244,150743.556912
1990-05-23,139981.11146561377,151110.26154399998
1990-05-24,140038.86994354558,150759.0
1990-05-25,139497.98606743754,149218.86385999998
1990-05-28,139494.87663575218,149218.86385999998
1990-05-29,141205.7519216496,151805.056912
1990-05-30,141018.68527578417,151897.70463199998
1990-05-31,141027.22903481437,152082.97729799998
1990-06-01,141325.95383052324,152909.022702
1990-06-04,140848.24665574095,154723.22772
1990-06-05,140707.15663529042,154422.13614
1990-06-06,140908.50372245902,153723.47729799998
1990-06-07,139380.74393671646,152966.92038599998
1990-06-08,138719.43860839607,151102.54579
1990-06-11,139348.68698618346,152395.63614
1990-06-12,141156.3588086645,154348.80694799998
1990-06-13,140384.67345790504,153785.238456
1990-06-14,138637.23269330515,152947.625404
1990-06-15,138482.43843663324,152955.341158
1990-06-18,137873.30704343453,150423.18193
1990-06-19,137594.2246143414,151106.397684
1990-06-20,137580.78549012414,151372.738456
1990-06-21,138424.14035084206,151951.738456
1990-06-22,137406.14336416154,149828.738456
1990-06-25,138045.19090915122,148601.26154399998
1990-06-26,137410.26563235754,148500.897684
1990-06-27,138156.63030947966,149801.72772
1990-06-28,139383.58135192073,150863.22772
1990-06-29,139390.8500450037,151056.22772
1990-07-02,140663.6665967041,151700.841158
1990-07-03,141384.04699941768,152028.943474
1990-07-04,141460.16539165817,152028.943474
1990-07-05,139660.69394396,150160.70463199998
1990-07-06,139908.57018115305,151318.70463199998
1990-07-09,140007.06207561537,151793.47729799998
1990-07-10,138848.13945855806,150519.68193
1990-07-11,140518.17251424666,152519.159228
1990-07-12,141716.43091980068,154294.76154399998
1990-07-13,144284.43532100055,155086.056912
1990-07-16,145044.97193652054,155811.738456
1990-07-17,144185.8654073942,155209.579614
1990-07-18,143294.9546423966,153823.841158
1990-07-19,144263.68420581188,154290.897684
1990-07-20,143571.03076769254,152723.738456
1990-07-23,143305.11486106084,150079.63614
1990-07-24,144198.33523776737,150284.22772
1990-07-25,145120.84558255615,150843.92038599998
1990-07-26,144775.0314881453,150357.556912
1990-07-27,144512.76459773738,149342.386562
1990-07-30,145135.68268800055,150268.784246
1990-07-31,146732.11092702925,150573.72772
1990-08-01,146354.1998229701,150315.102316
1990-08-02,148617.27321812755,148632.13614
1990-08-03,147261.26778880256,145856.80694799998
1990-08-06,148688.9656868052,141549.04579
1990-08-07,149018.93015162135,141780.63614
1990-08-08,148327.40258065573,143274.466176
1990-08-09,148191.58188629354,143980.841158
1990-08-10,149188.20133869504,142151.20463199998
1990-08-13,152311.08896779048,143602.556912
1990-08-14,154166.9260611752,143857.31806999998
1990-08-15,151475.25962196285,144150.68193
1990-08-16,151711.16459799104,140931.443474
1990-08-17,153352.91417763042,138997.579614
1990-08-20,153607.0803464444,139314.102316
1990-08-21,154216.81554015688,136511.738456
1990-08-22,154369.91653603685,134265.22772
1990-08-23,154807.2904808966,130243.102316
1990-08-24,154353.61343466805,132130.63614
1990-08-27,152460.6017061561,136392.079614
1990-08-28,149317.2591800026,136399.80694799998
1990-08-29,147308.4499687053,137619.556912
1990-08-30,147962.69650877596,135295.841158
1990-08-31,148683.6200931649,136971.079614
1990-09-03,148540.43783667113,136971.079614
1990-09-04,150449.8022214777,137229.70463199998
1990-09-05,151254.9075460437,137781.68193
1990-09-06,152787.232634388,136121.886562
1990-09-07,151480.63756340876,137372.522702
1990-09-10,152259.94743913098,136685.443474
1990-09-11,151004.12073809217,136457.70463199998
1990-09-12,151928.95713711527,137094.602316
1990-09-13,151024.98809281416,135442.522702
1990-09-14,151316.74100526664,134674.386562
1990-09-17,153061.07502553242,135083.54579
1990-09-18,152920.24796197677,135512.0
1990-09-19,152684.99842638316,134662.80694799998
1990-09-20,152207.27289845378,132516.63614
1990-09-21,153799.56035156714,132447.159228
1990-09-24,155203.42245100767,129644.80694799998
1990-09-25,157587.0430738634,131219.68193
1990-09-26,158254.62619323732,129860.96617599999
1990-09-27,158932.65751054508,128147.12540399999
1990-09-28,160973.4619160031,130308.72772
1990-10-01,158658.2992895495,134133.97729799998
1990-10-02,154643.41036736977,134249.784246
1990-10-03,157457.60355621015,132713.5
1990-10-04,158369.6039682038,133265.47729799998
1990-10-05,158265.3734385205,132763.68193
1990-10-08,158608.49091312854,133605.159228
1990-10-09,157615.41875754678,130046.23845599999
1990-10-10,155755.14586559072,128042.897684
1990-10-11,154619.64050585066,125943.056912
1990-10-12,155849.87458811118,127888.5
1990-10-15,155286.3706393792,129281.96617599999
1990-10-16,152090.80210994222,127448.46617599999
1990-10-17,152564.16235300645,127386.70463199998
1990-10-18,154627.14320746643,130362.76154400002
1990-10-19,156600.60234771218,133238.466176
1990-10-22,156402.67436152793,134226.625404
1990-10-23,156528.51350033144,133207.579614
1990-10-24,156809.5421172294,133311.80694799998
1990-10-25,156851.17149259566,132285.04579
1990-10-26,155360.21370907937,129992.20463199998
1990-10-29,154636.37631892913,128811.04579
1990-10-30,155508.2183418119,129776.04579
1990-10-31,156939.57617351835,129752.886562
1990-11-01,157648.99081137325,131065.284246
1990-11-02,158539.746835143,133141.966176
1990-11-05,159042.62170279725,134481.386562
1990-11-06,158561.32887210534,133246.18193
