,uniform,onlystocks,sixtyforty,riskparity_nested
2018-02-01,437124.68010425294,484308.40734536,565370.3936111967,399103.42481272086
2018-02-02,426342.42399859807,463222.8364500354,546959.2489524086,388064.62849231216
2018-02-05,419772.0435899869,424478.29931588145,521415.1468916159,376522.3387717091
2018-02-06,417835.2499336852,441204.0199163075,531823.4615162264,379028.2499067603
2018-02-07,412742.9499260559,436417.15579566505,525776.2109738213,375054.92953807465
2018-02-08,404791.9316874624,403679.86889211176,501194.2624678317,363418.363572511
2018-02-09,405903.63797659933,415806.909499443,508721.6707250639,366678.1708411783
2018-02-12,410859.4302688658,428018.11157431355,518651.4450080681,372058.70011318626
2018-02-13,413729.0124428547,430147.3708986899,521439.73017725366,374257.95088551595
2018-02-14,416280.91901299404,441757.3476016311,526310.5325852246,375235.8498866402
2018-02-15,421192.8106457617,453030.57080508606,535260.8838253547,378006.5163434288
2018-02-16,422855.5824648229,453296.0357477698,537050.7572358595,379316.90893458866
2018-02-20,417726.8631952555,447619.78044371307,531792.2994474552,375433.1443300586
2018-02-21,412423.49594873027,443167.0744727431,525426.8068985478,371357.8686000719
2018-02-22,415377.31997984136,444315.6933658576,527145.4295511737,373689.671622064
2018-02-23,422657.5760155786,458479.1340508061,540023.6936087976,378487.2501734532
2018-02-26,425570.9408615253,469126.5800600639,548079.3312832201,380493.9989949015
2018-02-27,418565.3634674345,457411.6866702221,538614.8724136474,375397.321774096
2018-02-28,416520.5774946609,448144.8386867848,533663.6093422184,374880.94419567817
2018-03-01,415664.0680884881,435112.93526837515,526495.1831508069,375438.6380344925
2018-03-02,415200.20214336383,439598.7823271221,527272.7624990218,374481.1428394658
2018-03-05,418413.6888538549,449759.9136265544,533838.1260752203,375687.18952032644
2018-03-06,419912.7186385397,452040.07243148354,535667.41886513,377258.55296004005
2018-03-07,417037.3863516314,451708.704970802,535199.8621824924,375213.2779771599
2018-03-08,418845.9943001814,456080.3639191676,539989.8535566272,376548.0477510067
2018-03-09,421666.38045159495,471953.21110006084,549717.8349376277,377493.5132650375
2018-03-12,422964.53715362994,470768.34092392906,550527.0782235493,378827.89201492403
2018-03-13,423146.04681842495,464684.0117817864,547499.0261450007,379531.48597321654
2018-03-14,424784.3005906992,459915.11004199344,546286.00676639,381031.8461566175
2018-03-15,423379.76993781107,458912.6865394054,545475.2426077593,379800.38347811473
2018-03-16,423446.6321034964,459908.0094563576,545190.9785545305,379312.53588430426
2018-03-19,419600.9489715163,447463.14252263715,535265.6062992003,377074.52849152585
2018-03-20,418341.1334219127,448984.9565689091,535118.6730436508,375661.4572382516
2018-03-21,422372.7993508461,447261.747543892,534236.0803861488,379247.11206258286
2018-03-22,419444.8250315152,424902.3099499899,520905.5636536561,378565.4413723711
2018-03-23,417783.0730511458,406790.0321765346,507861.4357982954,378933.71137327113
2018-03-26,422755.63873618393,429047.5964050606,522657.64319786715,381145.25211453176
2018-03-27,422490.2615412461,414450.7239772893,515487.9839118996,382064.4211980744
2018-03-28,419709.2826079334,412001.43495686725,514237.102555076,379707.45764909853
2018-03-29,424284.89240294753,422529.76060909376,523540.41204827337,382848.63627699815
2018-04-02,421232.70621528756,404290.54290192947,510501.8733930322,381929.66836879635
2018-04-03,420921.87197321514,414653.4249293481,515992.77473108546,380428.3422356635
2018-04-04,422315.91076609143,423525.9488725549,522092.9403637703,380937.97121114173
2018-04-05,422202.8537016546,430210.5854663879,525055.2962168448,379793.6421578512
2018-04-06,420347.42360936047,411036.1342208998,513794.74801217444,380443.6616702085
2018-04-09,423264.4193907097,415087.52530099807,517208.544615501,382296.7823673023
2018-04-10,426551.20734033454,428286.65489975817,526357.9864582999,383773.79782320245
2018-04-11,428277.92197762686,423796.7640350357,523925.9996549659,385410.74881184514
2018-04-12,424375.08464829135,430769.50544245046,526890.4018808949,381784.09473508754
2018-04-13,426197.9279638502,428242.54230623605,525651.1626907692,383259.29696742515
2018-04-16,428661.5422224711,435284.0712749281,530892.3833715492,384420.06291164615
2018-04-17,432175.29684447567,444597.2295424967,538546.0275288554,386507.88921714044
2018-04-18,431760.16491393617,445255.65464446903,536591.1425223744,385236.0303678691
2018-04-19,428200.1322614767,440315.709966094,530681.8589067024,382299.6921686912
2018-04-20,422718.34970886644,432849.0537037246,522977.3581330444,378101.7075753628
2018-04-23,421215.44467497966,432719.0231323704,522732.2977375074,376792.07924696506
2018-04-24,418835.7219897056,421064.43267754634,512870.6047579082,375208.4465534729
2018-04-25,416913.57311178395,423145.8880064589,512688.95056061196,373217.35104652756
2018-04-26,420962.3489197609,431748.4696603427,521048.61909688934,376137.08774798556
2018-04-27,424161.2257755782,432559.15132118436,523496.4259838614,378603.69373258256
2018-04-30,422219.72953232273,425906.21969589486,519081.71357013186,377694.4828066198
2018-05-01,419731.7746545676,427419.6768700321,519183.7351225225,375596.74327485973
2018-05-02,418256.5466420158,421677.6191483151,514706.50358983723,374816.01011666056
2018-05-03,420292.9066102244,419819.247742598,514712.17147166916,376889.9477505603
2018-05-04,424120.66323499347,430688.9395718894,523173.12749038363,379088.1322626243
2018-05-07,423898.16676455573,433603.1146799293,524937.7646034863,378817.95033212745
2018-05-08,421586.8630562426,433603.1146799293,524416.6409425803,377306.4048017586
2018-05-09,421867.3487108423,441984.85362219723,529051.2661353213,376719.22512921976
2018-05-10,427918.82089991204,450250.1205452248,537233.9703647513,380912.23433723976
2018-05-11,428236.4923600323,452997.4935524716,539763.4420911067,381145.6481056794
2018-05-14,426635.3587552011,453429.35851522326,538465.5798980887,379554.1027952117
2018-05-15,419226.1089449326,447183.95311295334,530379.8947020818,373248.8373222602
2018-05-16,418517.06833405746,450944.7690935589,531828.9992380799,372519.49627336935
2018-05-17,416962.3539286078,450182.8175598127,530111.431483754,371645.09061712876
2018-05-18,418721.1133312526,447932.0606795422,531082.6692980875,373520.30903482076
2018-05-21,421379.81941482436,454667.408657751,536157.702398665,375223.678723888
2018-05-22,420881.6331807225,452139.4422623763,533943.5119007817,374657.6726570519
2018-05-23,424735.66531428637,454627.1252709399,538203.8106574465,377788.05633619206
2018-05-24,427669.69600657874,452764.6556662257,539103.7740904724,380310.8736841661
2018-05-25,427552.0992947669,450607.1082675522,539743.2622417584,380978.54827432905
2018-05-29,430397.5550570446,440242.75508870557,539424.2878618452,385014.98738726595
2018-05-30,432689.05337312736,451991.9585216181,545366.2220929321,385366.1934814804
2018-05-31,430796.3671669101,446454.56142886524,540927.2656587237,383897.08402544935
2018-06-01,428139.20802484767,455220.48061171186,545212.4939374332,381898.1608592102
2018-06-04,425243.9632204233,459546.0827981945,545943.6165328163,379716.9435494252
2018-06-05,426561.0467652447,460214.8799039826,547485.8116784047,381373.9444801025
2018-06-06,424315.19544144406,467909.76517835894,550347.9920959009,379859.0797922552
2018-06-07,427482.8106076345,467808.36210370995,553271.1607417746,382491.862604344
2018-06-08,427366.9793579028,470574.2388457148,554294.0945620048,382230.4263630511
2018-06-11,427199.5948163436,471826.0447212408,554576.0003159391,382063.41166233306
2018-06-12,427692.05070776225,473045.5714598625,555375.5494891203,381836.7418660099
2018-06-13,427440.2810322356,470026.696617736,552850.1639982755,381521.3123488087
2018-06-14,430179.36159292876,472393.43434025574,557024.3982330519,383793.13430015004
2018-06-15,426078.4361493045,471188.1593471636,556534.0111394168,380821.0135650976
2018-06-18,426288.13722178584,469250.132394664,555051.8559490126,380776.324646845
2018-06-19,426683.9574774543,465653.1815284122,554337.0202248225,381278.94584849384
2018-06-20,424134.83883829776,467241.94088399573,552813.4814299587,378838.89613994164
2018-06-21,423825.0741819823,461384.0151289679,550348.1229866755,379045.09336178005
2018-06-22,426684.3758932237,463066.3438878203,551576.6657859599,380579.6528779818
2018-06-25,424778.5958188445,450459.5933328835,543363.8050836194,378003.78883872234
2018-06-26,425505.49301372014,452454.17137612257,545208.8386517374,378042.7904677981
2018-06-27,426311.4951346852,444958.11266600905,542788.4602711559,377466.71812103613
2018-06-28,426535.3294656854,450046.01885302895,546262.8414428451,377730.620695035
2018-06-29,427754.9327077713,451341.7717011694,546236.8340278191,378674.08276288764
