,uniform,onlystocks,sixtyforty,riskparity_nested
2014-01-15,-0.12000322834063937,-0.0007985497340725622,0.0,-0.06642625274225666
2014-01-16,-0.11578269953157427,-0.0033951089101155185,0.0,-0.06286003627705372
2014-01-17,-0.11163707402348333,-0.011824827771563351,-0.002607605774836985,-0.0605361631078456
2014-01-21,-0.11176778579983215,-0.006014205711821097,0.0,-0.059361647253161065
2014-01-22,-0.1138591098560483,-0.004718585972042555,-0.0012464731541275142,-0.060933068128244394
2014-01-23,-0.10275176022563925,-0.02102612079295918,-0.003056752572040966,-0.053845119341938696
2014-01-24,-0.10729180761144175,-0.0627955767421795,-0.02446211464638215,-0.061066901116327066
2014-01-27,-0.11727113645625875,-0.07201449757943068,-0.034180985241982986,-0.07046455491447501
2014-01-28,-0.11231827708406761,-0.06096443482321001,-0.025772372601691407,-0.06506717406086016
2014-01-29,-0.10696865053429927,-0.07900100869613735,-0.03200270243586911,-0.060517978032994635
2014-01-30,-0.11056863932255423,-0.059477807581436615,-0.02133658591107379,-0.06210880551150588
2014-01-31,-0.10664610468053293,-0.07049623283329565,-0.024053847932905104,-0.05828930640664509
2014-02-03,-0.10614636449033288,-0.11232831223620376,-0.043176529142156306,-0.058298012338733995
2014-02-04,-0.10952951725809146,-0.0998941231556909,-0.04093937073847176,-0.061483494598060906
2014-02-05,-0.11419802143538682,-0.1021523172696499,-0.04746320152553396,-0.06707200020591675
2014-02-06,-0.11001998350495956,-0.07847499040683548,-0.03509778628789395,-0.06301107942251927
2014-02-07,-0.0986499382248357,-0.05563274581694089,-0.019478870956173733,-0.05161727677142347
2014-02-10,-0.09425696971620612,-0.05216390023616879,-0.016029951633146244,-0.048102306722008104
2014-02-11,-0.0870029219975027,-0.03142029848372574,-0.0070808356381634185,-0.043020898944762354
2014-02-12,-0.08867123196745064,-0.03046244021722544,-0.009398868392366033,-0.04528431365643404
2014-02-13,-0.07685250044803271,-0.020452620901047047,0.0,-0.03375262851421679
2014-02-14,-0.06791115088595612,-0.009642294229713522,0.0,-0.026549834862913402
2014-02-18,-0.06162616863778225,-0.007274729395227664,0.0,-0.020000810028054317
2014-02-19,-0.07039689777752178,-0.02042005566378413,-0.010497184843010765,-0.02809486403011674
2014-02-20,-0.06351955229450124,-0.00886032282596838,-0.004711216185972367,-0.022822510264361773
2014-02-21,-0.061982603326711905,-0.011121490041751558,-0.003610604475544621,-0.021095795553783714
2014-02-24,-0.056493432108086994,-0.00015253253338531891,0.0,-0.016776386978614055
2014-02-25,-0.05272639420248448,-0.0009098608833660871,0.0,-0.012463125678579434
2014-02-26,-0.054322501305457904,-0.0008012549953131387,0.0,-0.012222458384483992
2014-02-27,-0.05073054256861498,0.0,0.0,-0.008091733384226862
2014-02-28,-0.049663386053473646,0.0,0.0,-0.006831113979291148
2014-03-03,-0.03924551138424215,-0.014062217427635582,-0.0041315434830764275,0.0
2014-03-04,-0.04667282809831941,0.0,0.0,-0.007255664720168142
2014-03-05,-0.04748386367661728,0.0,0.0,-0.007747368431409218
2014-03-06,-0.04693157207193133,0.0,-0.0025589338380499482,-0.008951608179597614
2014-03-07,-0.054236745541196396,0.0,-0.0060114165829808774,-0.016238158497083988
2014-03-10,-0.05557001036393883,-0.0010617555120391309,-0.005743311180436028,-0.017372365247571575
2014-03-11,-0.05443336059380799,-0.010935827980272927,-0.01054107793008463,-0.016826535570522938
2014-03-12,-0.04282035938226125,-0.010407316054615423,-0.005915018684405693,-0.007129756249272701
2014-03-13,-0.03718422203014726,-0.032597866216606874,-0.011493085615189025,-0.0035563804830228696
2014-03-14,-0.03354665779400978,-0.03803019787716866,-0.014637250391814072,-0.0014185316232986356
2014-03-17,-0.03983037950906765,-0.020633137728580664,-0.00888419687827291,-0.004749194622093333
2014-03-18,-0.03719087706554347,-0.006653533883241081,0.0,0.0
2014-03-19,-0.056471290454744416,-0.01723876645455691,-0.013228282658923507,-0.018170049684414047
2014-03-20,-0.05597182572145609,-0.00576253680793859,-0.0069892249758449765,-0.01635763030648718
2014-03-21,-0.04921228845669667,-0.013473940364515102,-0.006535125283289811,-0.011369955360496675
2014-03-24,-0.053949759674588704,-0.02163236250953471,-0.008356859542184014,-0.014677285244502958
2014-03-25,-0.05118881149123122,-0.012347326660113955,-0.004589665669021081,-0.011429116312810295
2014-03-26,-0.05302987956016836,-0.026552025039607074,-0.008203576792395917,-0.013064630792796739
2014-03-27,-0.05044660850869753,-0.030656466281688388,-0.008171131538076803,-0.010314132249452546
2014-03-28,-0.051959503019862296,-0.02110046107883945,-0.006234397701766592,-0.011283542353198062
2014-03-31,-0.050394640617312025,-0.005059307411824809,0.0,-0.007377590833770098
2014-04-01,-0.056446736798479,0.0,0.0,-0.011689675719678827
2014-04-02,-0.05720899794432899,0.0,-1.7964426474503803e-05,-0.013203342297587906
2014-04-03,-0.05473133150698628,-0.0026463529288730525,0.0,-0.010865308513013372
2014-04-04,-0.047856486811016286,-0.026226107277159683,-0.00914811738500343,-0.007012301719673042
2014-04-07,-0.05140432380810156,-0.04774640961989751,-0.01875807234767135,-0.01143310197584091
2014-04-08,-0.039979057122274786,-0.03989549510103807,-0.012483942388447522,-0.0009020359040569081
2014-04-09,-0.03737079339334004,-0.019254110113057,-0.002192402420720385,0.0
2014-04-10,-0.03884717602007459,-0.060452011651464965,-0.02157060645975839,-0.005184592631697682
2014-04-11,-0.03936603209864442,-0.0773779642609258,-0.02756676957621762,-0.007052910631512144
2014-04-14,-0.032603839045907024,-0.06284257827365036,-0.02053307642475355,-0.0004976514594312587
2014-04-15,-0.03073622098365758,-0.04993447588134314,-0.009613694651065874,0.0
2014-04-16,-0.024850892882182007,-0.030027511306346177,0.0,0.0
2014-04-17,-0.035593404929512795,-0.027318637300392856,-0.005346597265170727,-0.00963047777330206
2014-04-21,-0.037029589249297445,-0.020535289079865793,-0.0016814187871337927,-0.00992993364392769
2014-04-22,-0.035131154928319974,-0.011633929669564336,0.0,-0.007281382960999339
2014-04-23,-0.032823054160475706,-0.016262683467679118,0.0,-0.005328875257584076
2014-04-24,-0.02643422468477441,-0.012274705695503374,0.0,-0.00032175857737526403
2014-04-25,-0.02435126634844842,-0.02846891926411288,-0.008719781134409077,0.0
2014-04-28,-0.027017298120974975,-0.022315744574283203,-0.007510611936367262,-0.0026810766235785266
2014-04-29,-0.025802363026625197,-0.013214010331456527,-0.002166069487591904,-0.000987051125117766
2014-04-30,-0.02473682834558588,-0.007327869378760954,0.0,0.0
2014-05-01,-0.02135134725488741,-0.0071173251304806895,0.0,0.0
2014-05-02,-0.018627984920798313,-0.009963812367433156,0.0,0.0
2014-05-05,-0.015562425071432684,-0.006173944877924442,-0.0004187691954875561,0.0
2014-05-06,-0.01850572484034263,-0.02347214683678789,-0.008728436640955017,-0.002211659798191712
2014-05-07,-0.019428140287275242,-0.011971299464912266,-0.0029500925976848613,-0.00235343870671878
2014-05-08,-0.02388949424552078,-0.014074787829857605,-0.005514129127257905,-0.005578512304698746
2014-05-09,-0.02895057024120906,-0.011133188324194632,-0.005349303338120781,-0.009621728689519049
2014-05-12,-0.026494141021321083,0.0,0.0,-0.008025780852256581
2014-05-13,-0.021016406140036303,0.0,0.0,-0.0017645471513314526
2014-05-14,-0.011218643532405093,-0.009474869789938833,0.0,0.0
2014-05-15,-0.01527383844987118,-0.026866884275650205,-0.005780943889954648,-0.0019491563008072754
2014-05-16,-0.015977421467849973,-0.02011731526005045,-0.0037415535384538456,-0.0031466954768875066
2014-05-19,-0.020898167119553723,-0.012927276032681623,-0.002959183431563095,-0.007252770551114507
2014-05-20,-0.020619366706382092,-0.02537248546413562,-0.00837681658952627,-0.006361711657180358
2014-05-21,-0.020879927927318742,-0.00895316127125978,-0.001611199423788623,-0.006729011308167165
2014-05-22,-0.018370988652931408,-0.004132806617061169,0.0,-0.005239066417443539
2014-05-23,-0.014376382015362288,0.0,0.0,-0.0007103703892147317
2014-05-27,-0.01792952742513676,0.0,0.0,-0.00236839889990903
2014-05-28,-0.011814175551355444,-0.0014621637858938108,0.0,0.0
2014-05-29,-0.012614338165630401,0.0,0.0,-0.0009500005419584845
2014-05-30,-0.01416416238658369,0.0,0.0,-0.002457512101173842
2014-06-02,-0.021065527899042813,0.0,-0.00342463658221992,-0.009644311679461004
2014-06-03,-0.026729617058539157,-0.0010365221707354655,-0.010890924363630483,-0.016651331152039872
2014-06-04,-0.027664049053968576,0.0,-0.008864315958101443,-0.017482429828001855
2014-06-05,-0.01964418126102352,0.0,-0.0002539679201288836,-0.010509490523757825
2014-06-06,-0.018087398678319766,0.0,0.0,-0.007597118974284389
2014-06-09,-0.019159482515479387,0.0,0.0,-0.007860128829344837
2014-06-10,-0.01981858390845448,0.0,-0.0020263037472717516,-0.008769393779644141
2014-06-11,-0.02285100431505893,-0.006952743295698283,-0.004976173756214397,-0.011381105758294874
2014-06-12,-0.013264449747662055,-0.021012138419041593,-0.008411095681551184,-0.005655270383185362
2014-06-13,-0.01080347006744431,-0.015044126823975601,-0.005796336195747931,-0.003660480584674719
2014-06-16,-0.009373128291277788,-0.013420847831645433,-0.003815695882241621,-0.0025091698053391065
2014-06-17,-0.013564418750487195,-0.007936625572937173,-0.005353890727781918,-0.005383048087804099
2014-06-18,0.0,0.0,0.0,0.0
2014-06-19,0.0,0.0,-0.004760430473002786,0.0
2014-06-20,0.0,0.0,0.0,0.0
2014-06-23,-0.0018792296816949605,-0.0006121295356763534,-0.0018730700346574203,-0.0016207298949905136
2014-06-24,0.0,-0.01265203767696399,-0.0035853863566742694,0.0
2014-06-25,0.0,-0.0037276670694419423,0.0,0.0
2014-06-26,0.0,-0.005153498106492016,0.0,0.0
2014-06-27,0.0,-0.0012856802155610803,0.0,0.0
2014-06-30,0.0,-0.002305678004558387,0.0,0.0
2014-07-01,-0.005698856426042065,0.0,0.0,-0.002147035792823937
2014-07-02,-0.015216203504982873,0.0,-0.004593329435399474,-0.00865998751241226
2014-07-03,-0.019673710233625852,0.0,-0.0008147727644407521,-0.010165705206836795
2014-07-07,-0.01854409535884083,-0.006962371528776212,-0.0013238102213124492,-0.010639110530428209
2014-07-08,-0.014152363239208543,-0.01973145218578154,-0.002996429914453258,-0.009171247254615711
2014-07-09,-0.011325235213104246,-0.010940931912641894,0.0,-0.005829808542136106
2014-07-10,-0.008051342718911836,-0.018766871894765003,-0.0038411025337204974,-0.0046047547227867636
2014-07-11,-0.006747407456779042,-0.016068282372338594,0.0,-0.002955580166497662
2014-07-14,-0.01905421069307045,-0.0061608435051805355,0.0,-0.00960694510671678
2014-07-15,-0.02561821359388805,-0.009882554740481164,-0.003413780963224311,-0.015695754818632168
2014-07-16,-0.01919092898609398,-0.002553565185325679,0.0,-0.009639614891902237
2014-07-17,-0.010886807132728382,-0.02522578119873986,-0.006444441969005621,-0.006026305797809717
2014-07-18,-0.011537782601911628,-0.00530449568897251,0.0,-0.004146440657963102
2014-07-21,-0.008796223791608604,-0.009026820908417665,-0.00013861795960856682,-0.0025369807826228774
2014-07-22,-0.008906827337621048,-0.0003906586326447581,0.0,-0.0005503344294176538
2014-07-23,-0.008232806778904034,0.0,0.0,0.0
2014-07-24,-0.016392280287824357,0.0,-0.004538590349117522,-0.006811903466919844
2014-07-25,-0.008445245386593525,-0.00936207153890567,-0.003971700885680662,-0.0014101200092498933
2014-07-28,-0.007636866312350277,-0.0085612784532767,-0.004508538286948638,-0.00178805102368218
2014-07-29,-0.011009952331578643,-0.017081271673655807,-0.007623427353395162,-0.004575195622546047
2014-07-30,-0.024674770930951162,-0.016781632850701778,-0.015873971647711538,-0.015736819394152834
2014-07-31,-0.04215798161583373,-0.05561109808203213,-0.04047604138316596,-0.03348544163511791
2014-08-01,-0.03577152772812653,-0.06138159988632974,-0.0385993668871365,-0.028848940414205493
2014-08-04,-0.03462166790881138,-0.0478282525880388,-0.03127695198423042,-0.024955077086016075
2014-08-05,-0.04034944751527603,-0.06629101706204121,-0.0408866322963074,-0.03140765694164405
2014-08-06,-0.035177594253607,-0.06570743492141873,-0.039947905251407345,-0.0272847649486464
2014-08-07,-0.027714767911687366,-0.07582411696021785,-0.04049447557435215,-0.02279234776317729
2014-08-08,-0.022008173990830993,-0.05444341472725234,-0.02888245852840776,-0.016615023799188666
2014-08-11,-0.0222272936241088,-0.04896370612609846,-0.025819649592198957,-0.015685792237566276
2014-08-12,-0.02721912723467723,-0.05161284378494568,-0.030618412943328344,-0.020404321992542274
2014-08-13,-0.019402030206715604,-0.038775557234380864,-0.018992350443489125,-0.011946256348268958
2014-08-14,-0.013863788060956783,-0.02969896196294841,-0.009471352819799606,-0.00664159399811215
2014-08-15,-0.008979804699053684,-0.030095406584140116,-0.0035986513020382915,-0.0015137732362057177
2014-08-18,-0.014882769816684127,-0.013842446792422303,0.0,-0.004086891871085241
2014-08-19,-0.012620770166581585,-0.0035504941735988726,0.0,-0.0016079918036571161
2014-08-20,-0.013905782371423148,0.0,0.0,-0.0024357459385778713
2014-08-21,-0.012836660428086066,0.0,0.0,0.0
2014-08-22,-0.011084456183292901,-0.0031079155070635744,0.0,0.0
2014-08-25,-0.006929969123358637,0.0,0.0,0.0
2014-08-26,-0.008516846181454762,0.0,-0.0006307504816368548,-0.0006204571434637041
2014-08-27,-0.001707494218074146,-0.0007983482191467051,0.0,0.0
2014-08-28,0.0,-0.001896650141633316,0.0,0.0
2014-08-29,0.0,0.0,0.0,0.0
2014-09-02,-0.02143805030936341,-0.0009969487012470024,-0.010041653398391914,-0.01775617050815148
2014-09-03,-0.015611479417733998,-0.002092546983903265,-0.007981937133939021,-0.013415775694686216
2014-09-04,-0.025352017903490398,-0.004978592574423346,-0.01586791133906129,-0.022120073041697053
