,uniform,onlystocks,sixtyforty,riskparity,benchmark
2010-12-16,-0.040260362989789966,-0.5223743541160808,-0.023673385964261273,-0.05171481262943811,-0.1466173440115136
2010-12-17,-0.042067417341680846,-0.5216059780428681,-0.0285559333625951,-0.05086172786437482,-0.14589822705590272
2010-12-20,-0.030658442097682537,-0.5191843385646415,-0.0222626022429806,-0.04321933992813076,-0.1437040678248107
2010-12-21,-0.02751098144265285,-0.513282692838495,-0.017248199504055095,-0.04015441590381119,-0.13841697758281135
2010-12-22,-0.026453497238016266,-0.5098895863116382,-0.017064039290283217,-0.038758200739479554,-0.13538120542179
2010-12-23,-0.02258616128403279,-0.511465380624617,-0.013097489067768975,-0.03866728534772368,-0.13673764187842596
2010-12-24,-0.022615895290136745,-0.511465380624617,-0.013097489067768975,-0.038690129042351806,-0.13673764187842596
2010-12-27,-0.0393926458465812,-0.5109017454283575,-0.027787456080211492,-0.04823405122876756,-0.1362065586377127
2010-12-28,-0.01887085602259131,-0.5101756954635553,-0.009577033501816823,-0.035882699838740484,-0.13553233066864812
2010-12-29,-0.011924327879600516,-0.5090509472373117,-0.01125419688014806,-0.029210961043912187,-0.1345067735696811
2010-12-30,-0.010561182657666146,-0.5105399318473374,-0.00438503060247819,-0.02997248525734153,-0.13578570232515152
2010-12-31,-0.008401377355348405,-0.5107673336729998,-0.008803752846929802,-0.027478990011219673,-0.13595318698120928
2011-01-03,-0.006588261559307251,-0.4996935587410002,0.0,-0.022817546332476346,-0.12614301243936754
2011-01-04,-0.033804219445384476,-0.5010282563038053,-0.016378838165230003,-0.04190737992914784,-0.1272748062072333
2011-01-05,-0.02995396839612685,-0.4959403658159546,-0.006946680924714066,-0.038265957386525384,-0.12279262022609694
2011-01-06,-0.029355929779246503,-0.4977356364447154,-0.0021823173936019735,-0.036851284904724446,-0.12432073098843077
2011-01-07,-0.03219494568748149,-0.49962599690343823,-0.0037467850922004997,-0.03869299975520457,-0.12593462905601682
2011-01-10,-0.027834546826057238,-0.5010447548736197,-0.005526185190255495,-0.03679247125923524,-0.12713994067438172
2011-01-11,-0.022306631572014846,-0.49736414001498497,-0.0045483321225475715,-0.03119781133063937,-0.1238876052211163
2011-01-12,-0.009660121160028012,-0.48824025013761274,0.0,-0.019982370941192484,-0.11590380208465811
2011-01-13,-0.015635366083995184,-0.4900302201172033,-0.006525240731388715,-0.023609580888954707,-0.1174156531329853
2011-01-14,-0.018827068405317338,-0.4825037648526499,-0.0007508721621257708,-0.02466177825605842,-0.11087008349916194
2011-01-17,-0.02055477772202019,-0.4825037648526499,-0.0007508721621257708,-0.02615576704934275,-0.11087008349916194
2011-01-18,-0.013059099820729836,-0.48109740827143677,0.0,-0.020959367913831572,-0.10962796351653781
2011-01-19,-0.029870100881281947,-0.491497562813748,-0.02496600053983744,-0.034457236642046696,-0.11851472767386462
2011-01-20,-0.03684280724261846,-0.49285216101215856,-0.020596603660307244,-0.04105377539122579,-0.11965470094203678
2011-01-21,-0.03258720588342645,-0.49041923207094407,-0.015768776449683997,-0.03749840260253523,-0.11750961993854414
2011-01-24,-0.021568254887264993,-0.4845117603531577,0.0,-0.030549251765743968,-0.11236138589723643
2011-01-25,-0.048673505551172114,-0.48424768385943273,-0.015541422474014799,-0.04514055604776224,-0.112099934027033
2011-01-26,-0.034515826250056225,-0.479895832918558,-0.005798653073086468,-0.03442733280721855,-0.10832050559230777
2011-01-27,-0.029759464384432333,-0.4775473901664332,0.0,-0.031274322932853815,-0.10627348134882053
2011-01-28,-0.03970208304105616,-0.4962118710045721,-0.027085388363756513,-0.0419196089789593,-0.12220018930303111
2011-01-31,-0.032615599443079346,-0.48853423011445485,-0.024171413207845216,-0.03309335948035974,-0.11547895551284337
2011-02-01,-0.029201204131193093,-0.47149329639233173,-0.008933452069428416,-0.025191105808554548,-0.10071257049525795
2011-02-02,-0.0299357340861357,-0.4742238930648245,-0.01549021975066811,-0.026709012718470815,-0.10300069694049563
2011-02-03,-0.04381619309070239,-0.4716390099966623,-0.02245573693332159,-0.03458866504333047,-0.10076164872285731
2011-02-04,-0.03657320032443767,-0.46861570986618195,-0.01623426674366546,-0.030673968374461014,-0.09815481267951054
2011-02-07,-0.04600374394444451,-0.462010704438794,-0.015874855692124323,-0.03492162700619961,-0.09251629402100225
2011-02-08,-0.031327710296915945,-0.4572115394130618,-0.0020986748008634537,-0.024924587910924,-0.08843451539736769
2011-02-09,-0.038807632843826934,-0.4601490903146711,-0.014816324770505429,-0.029259501092126494,-0.09086568687576324
2011-02-10,-0.03636711008423932,-0.4592829863135963,-0.0070878557809544995,-0.028838267098109438,-0.09010158164699977
2011-02-11,-0.028252172385255125,-0.45321924781740464,0.0,-0.023285226577675844,-0.08496561706044525
2011-02-14,-0.024237990084513217,-0.45042383152915644,0.0,-0.019085923188844056,-0.08259180300514857
2011-02-15,-0.02858782997603848,-0.4538885457792282,-0.0050403677516895895,-0.023846935338021957,-0.0854478214639458
2011-02-16,-0.021435710720971612,-0.44690252007973863,0.0,-0.015457884379564413,-0.07956411064924063
2011-02-17,-0.019408449589732424,-0.44344823968700187,0.0,-0.011236122293049822,-0.07665502411217762
2011-02-18,-0.004747490289818135,-0.44133813029250846,0.0,-0.0018021840385802346,-0.0748694517388937
2011-02-21,0.0,-0.44133813029250846,0.0,0.0,-0.0748694517388937
2011-02-22,-0.0017711333921540673,-0.4643019646952511,-0.025542177849913528,-0.009210774841371339,-0.09384420130887872
2011-02-23,0.0,-0.4708469195181171,-0.026180371139342684,-0.0028419294029744524,-0.09934386417528196
2011-02-24,0.0,-0.471684705125862,-0.024681612780123152,-0.00327581349131556,-0.10002208281218683
2011-02-25,0.0,-0.46029656899221627,-0.008346345397033939,0.0,-0.09028951566670407
2011-02-28,0.0,-0.45427691353869515,-0.0012089154088190668,0.0,-0.08518217994410238
2011-03-01,-0.004605226428058051,-0.47149576940800153,-0.028420472853004086,-0.006506231737627877,-0.09957668718153256
2011-03-02,-0.006554842892728119,-0.46965591829778086,-0.03817090580170468,-0.0060335206353513415,-0.09797505856869959
2011-03-03,0.0,-0.45139269996274456,-0.011574955955211519,0.0,-0.08241194919914441
2011-03-04,0.0,-0.45952226403927876,-0.021317924496196405,0.0,-0.089174081716625
2011-03-07,-0.00723437461333154,-0.46854594714972575,-0.03712380676961291,-0.0039661798224991385,-0.09674111808638197
2011-03-08,-0.002862391648765894,-0.4589016926820767,-0.018911134397183726,-0.0017272147574461938,-0.08851222289750671
2011-03-09,0.0,-0.4602533281969974,-0.011731016931715077,0.0,-0.0896153873928327
2011-03-10,-0.018004165534837746,-0.4806711800780389,-0.03444162081588065,-0.01630426479157665,-0.10679648478442061
2011-03-11,-0.015765544982004998,-0.473031618163985,-0.0223343561150412,-0.013351300703359548,-0.10019365701410454
2011-03-14,-0.00951400671258773,-0.47941445331649646,-0.023165101572765634,-0.010538654298737793,-0.10560743288006236
2011-03-15,-0.022220360188587085,-0.49110986183198657,-0.024373473693267256,-0.024012040788509714,-0.11561781089636158
2011-03-16,-0.03240450779394366,-0.5109583615715185,-0.05155411219050965,-0.03252601626190921,-0.13282753756048915
2011-03-17,-0.016457145187801392,-0.4978639782553339,-0.03823017639504023,-0.020237452065178463,-0.12118690165881729
2011-03-18,-0.012930021237008482,-0.4935781280505539,-0.036863562542153505,-0.016737994553741586,-0.11740338367823222
