,uniform,onlystocks,sixtyforty,riskparity,benchmark
1995-01-30,263289.22245222796,432496.8172523488,414987.829972002,225228.55022226024,235404.00399999993
1995-01-31,262193.19500871585,436228.8166195425,414640.12261315266,225047.83238427446,236428.0032
1995-02-01,262600.65031521296,436210.04611741897,414559.69628346234,225079.6000535723,236432.00679999994
1995-02-02,268372.9276587411,440725.53307908855,424506.5281238487,228944.39668969554,237663.9891999999
1995-02-03,269197.0982241054,451677.19859801524,429019.1876956244,230244.24410372958,240623.9991999999
1995-02-06,269637.7318572421,456796.68219496554,432390.5299586939,230744.99074365225,241995.9964
1995-02-07,268063.60073449556,456232.6955418515,431544.3237208947,229798.86400371467,241856.0059999999
1995-02-08,265990.8921538345,456997.91334488214,429798.86855322425,228673.03336626422,242067.99319999994
1995-02-09,268324.5923043196,455270.0910562701,430836.04401084926,229458.42409113827,241619.99519999995
1995-02-10,268251.37140205386,457814.4668406307,431139.33024296944,229861.29774915846,242304.00399999993
1995-02-13,269895.4195958915,458354.0262458134,436061.8043984838,230482.22553431574,242456.0059999999
1995-02-14,271850.71320108586,460210.4908140627,438755.2422585863,232039.43396786897,242956.0059999999
1995-02-15,272789.88005556946,464057.01454732387,441781.9078465087,233106.5408487914,243980.00519999996
1995-02-16,272919.07053889433,465330.75838613545,441565.5528493741,233341.26750544534,244323.9991999999
1995-02-17,273280.1294715931,459242.0228796025,438215.11640695564,233177.38389934486,242735.98639999994
1995-02-20,273514.39569624135,459242.0228796025,438215.11640695564,233349.47553850626,242735.98639999994
1995-02-21,275908.2121323522,460721.2568180409,442701.9145031774,235087.27942534586,243135.98639999994
1995-02-22,276725.65760353074,465251.81034600065,445061.40854119096,235976.87479229458,244339.99039999992
1995-02-23,277808.4950944399,468950.5761471913,448473.6817436657,236778.2647334232,245319.99519999995
1995-02-24,279313.32043455204,471255.8721306001,451778.04937558697,238062.3694777165,245932.00679999994
1995-02-27,279489.4954893979,463120.21726613713,450435.1945713937,237040.6964134102,243819.99519999995
