,GLD,COM,SP500TR,LTB,ITB
2011-10-24,-0.2525428394586494,-0.8551253882200197,-0.525636807641619,-0.27879873999892313,-0.022400843651359303
2011-10-25,-0.24898068889676228,-0.8534317357782505,-0.544690925872237,-0.3115069087533541,-0.028378084877709653
2011-10-26,-0.19552379855612767,-0.8586297310809217,-0.5351218101331152,-0.3959062125472801,-0.04174599652800226
2011-10-27,-0.19277118734163368,-0.8500497132746263,-0.5032212231071882,-0.36215999514625274,-0.03384464220776451
2011-10-28,-0.17121947198076903,-0.8521555592322623,-0.5028476102756694,-0.3036077149123987,-0.023485553397931014
2011-10-31,-0.18937263275224347,-0.8542475461573787,-0.5274793256032422,-0.22521088053925864,-0.013603067500841504
2011-11-01,-0.2110893783048461,-0.8570768187493866,-0.553919208636567,-0.23713348461704653,-0.012152145291235539
2011-11-02,-0.17028830110681126,-0.8564924401184216,-0.5394996193839388,-0.2723304534166533,-0.01401749933997809
2011-11-03,-0.1560713729512364,-0.8529423123057875,-0.5220482748379811,-0.26590468827283553,-0.011580241555395943
2011-11-04,-0.16477719798211776,-0.8517304960654428,-0.5280841964742619,-0.23581386379930125,-0.009924282177674493
2011-11-07,-0.1333236043043846,-0.8488759360788697,-0.5221024724625702,-0.2747098885303709,-0.014337679106073309
2011-11-08,-0.12074516156899717,-0.8465244149619036,-0.5103424765355119,-0.22708003207155947,-0.009058468738301406
2011-11-09,-0.13158917897745026,-0.8504414534937201,-0.5462260372993426,-0.2685566703908959,-0.01337868209817028
2011-11-10,-0.15891551230830236,-0.8486770936356423,-0.5383107821363096,-0.268155648593317,-0.013289537651648864
2011-11-11,-0.14269497615974158,-0.8466799266205889,-0.5203500556171589,-0.26033873345436065,-0.0126128339778242
2011-11-14,-0.13985972126572166,-0.8489048804580831,-0.5294321319803925,-0.262374211124361,-0.01359823723676401
2011-11-15,-0.1312082479424027,-0.8463724398640629,-0.5247628658659018,-0.24402386443095647,-0.012530395025467822
2011-11-16,-0.15950472604319366,-0.8435201599524574,-0.5403228445239567,-0.20809267313850144,-0.009796940235372698
2011-11-17,-0.17249271232582486,-0.8524938770122157,-0.5557874866168417,-0.21766105623659027,-0.014991626582884221
2011-11-18,-0.19487650591230277,-0.8548072263875712,-0.5561118855948497,-0.193960679166156,-0.013436856118763663
2011-11-21,-0.2108629287732281,-0.8577645595827132,-0.5726567708493187,-0.17735567050108147,-0.011391104832515264
2011-11-22,-0.2137055484446969,-0.8549742884668643,-0.5761624003543756,-0.13468192038662763,-0.010714908109350385
2011-11-23,-0.23042677439666293,-0.8594385340465112,-0.5948909304777259,-0.17786170723893147,-0.014343552365730705
2011-11-24,-0.2199564160081965,-0.859449346466969,,,
2011-11-25,-0.22370347913743416,-0.8604235059216415,,,
2011-11-28,-0.20031568311199488,-0.8566094443101697,-0.5733256743397971,,
2011-11-29,-0.19757783562083087,-0.8527730037486878,-0.5711612062642868,-0.2475348647723381,-0.017962346153045705
2011-11-30,-0.1705338611982845,-0.8507399138510521,-0.5339147816722212,-0.2792232046783498,-0.019812435136592255
2011-12-01,-0.16489686808106196,-0.8523754684074618,-0.5356997559098864,-0.23636045399069128,-0.015147035631728256
2011-12-02,-0.16972767717118242,-0.8506361310648045,-0.5359227416336464,-0.23904223993705498,-0.01642069668410162
2011-12-05,-0.1726430805848862,-0.8510131989020362,-0.5263663086417114,-0.26725928107061614,-0.017204788578082053
2011-12-06,-0.2068636604649149,-0.85003511888608,-0.5253387583089923,-0.23932916112511549,-0.010767156910587716
2011-12-07,-0.18138456634224975,-0.8528929887851052,-0.5231880267047893,-0.21875404816287247,-0.007051948856769186
2011-12-08,-0.20078676625026537,-0.8563874869758489,-0.5433640232560448,-0.2641680996336504,-0.011089636612943266
2011-12-09,-0.20644040675983422,-0.8559697796195243,-0.5279766497538189,-0.24059345875264782,-0.008941597059138662
2011-12-12,-0.25247125655255775,-0.8597023757190443,-0.5420498506259721,-0.21956820035878433,-0.00797081833385549
2011-12-13,-0.24081694958634992,-0.8556853378634547,-0.5498610397044956,-0.17584203963682743,-0.007884386625321094
2011-12-14,-0.30397038206878213,-0.8674127752145405,-0.5600198119168049,-0.18584206233502276,-0.008485909858978014
2011-12-15,-0.3292077767325222,-0.8689995709503362,-0.5571197930289318,-0.15135121270555596,-0.004658485988359828
2011-12-16,-0.31221255978698104,-0.8691495126854311,-0.5542911471673495,-0.12435148497799875,-0.0037859648316774797
2011-12-19,-0.30881358475549514,-0.868483046246725,-0.5647684429074489,-0.18638113395905365,-0.009021009812391512
2011-12-20,-0.2954582555241495,-0.8621301852146819,-0.5387006995699585,-0.22129167808927808,-0.01471608179940409
2011-12-21,-0.3003156485572004,-0.8593496771804459,-0.5369209456392126,-0.21209818094899546,-0.014722687968401704
2011-12-22,-0.30167485168308006,-0.8575498141583755,-0.5290659413874489,-0.24922702598018331,-0.021244765131508747
2011-12-23,-0.30172856900218126,-0.85718760079119,-0.5205852638221582,-0.2381581407790272,-0.01969693376807169
2011-12-26,-0.30178228218918124,-0.85719858636036,,,
2011-12-27,-0.3018359912443973,-0.853904362515391,,,
